"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,위도,경도,데이터기준일자
"울산시설공단",울산광역시 남구 대공원로 84,울산광역시 남구 옥동 336-2,시설물관리,12,41,가족문화센터 전역,20,2002-12,052-269-6372,35.531671,129.290651,2020-12-15
"울산시설공단",울산광역시 남구 대공원로 84,울산광역시 남구 옥동 336-2,시설물관리,39,100,가족문화센터 전역,20,2002-12,052-269-6372,35.531649,129.290512,2020-12-15
"울산시설공단",울산광역시 남구 대공원로 94,울산광역시 남구 옥동 146-1,시설물관리,178,200,울산대공원 전역,30,2002-12,052-271-8816,35.531155,129.293948,2020-12-15
"울산시설공단",울산광역시 남구 돋질로 211,울산광역시 남구 달동 408-1,시설물관리,48,200,문화공원 전역,30,2003-12,052-271-8816,35.543384,129.328491,2020-12-15
"울산시설공단",울산광역시 남구 산업로 654,울산광역시 남구 삼산동 8-26,시설물관리,10,200,태화강역 전역,30,2016-12,052-271-8816,35.539763,129.352641,2020-12-15
"울산시설공단",울산광역시 남구 삼산중로 144,울산광역시 남구 삼산동 1538-1,시설물관리,57,210,근로복지관 전역,14,2000-12,052-227-4103,35.5461839,129.3364356,2020-12-15
"울산시설공단",울산광역시 남구 문수로44,울산광역시 남구 옥동 산5,시설물관리,114,200,경기장 전역,30,2002-12,052-220-2507,35.5352458,129.2595311,2020-12-15
"울산시설공단",울산광역시 남구 문수로44,울산광역시 남구 옥동 산5,시설물관리,57,41,수영장 전역,30,2005-08,052-220-2507,35.5326987,129.2622065,2020-12-15
"울산시설공단",울산광역시 남구 문수로44,울산광역시 남구 옥동 산5,시설물관리,21,41,야구장 전역,30,2014-04,052-220-2507,35.5319188,129.2658211,2020-12-15
"울산시설공단",울산광역시 남구 문수로44,울산광역시 남구 옥동 산5,시설물관리,122,200,체육공원 전역,30,2019-04,052-220-2507,35.5332688,129.2563119,2020-12-15
"울산시설공단",울산광역시 남구 남부순환도로 555,울산광역시 남구 신정동 993-1,시설물관리,9,41,궁도장 전역,30,2009-07,052-220-2507,35.5216645,129.3009312,2020-12-15
"울산시설공단",울산광역시 남구 정동로20번길 24,울산광역시 남구 삼산동 1594-1,시설물관리,14,41,여성인력센터 전역,30,2013-12,052-258-8061,35.53528447,129.346632,2020-12-15
"울산시설공단",울산광역시 남구 정동로20번길 24,울산광역시 남구 삼산동 1594-1,시설물관리,2,52,여성인력센터 전역,30,2014-11,052-258-8061,35.53528447,129.346632,2020-12-15
"울산시설공단",울산광역시 남구 정동로20번길 24,울산광역시 남구 삼산동 1594-1,시설물관리,5,52,여성인력센터 전역,30,2016-03,052-258-8061,35.53528447,129.346632,2020-12-15
"울산시설공단",울산광역시 남구 정동로20번길 24,울산광역시 남구 삼산동 1594-1,시설물관리,6,200,여성인력센터 전역,30,2017-05,052-258-8061,35.53528447,129.346632,2020-12-15
"울산시설공단",울산광역시 중구 염포로 55,울산광역시 중구 남외동 865,시설물관리,76,200,운동장 실.내외,30,2015-08,052-290-7200,35.5626195,129.3479622,2020-12-15
"울산시설공단",울산광역시 중구 염포로 85,울산광역시 중구 남외동 673,시설물관리,46,200,체육관 실.내외,30,2000-10,052-294-4120,35.5624698,129.3504332,2020-12-15
"울산시설공단",울산광역시 중구 염포로 85-1,울산광역시 중구 남외동 507-1,시설물관리,21,130,센터 실.내외,30,2005-10,052-296-2512,35.5636099,129.3499763,2020-12-15
"울산시설공단",울산광역시 남구 봉월로 38번길 32,울산광역시 남구 신정동 689-1,시설물관리,11,60,체육관 실.내외,30,2009-04,052-273-0286,35.5362869,129.309183,2020-12-15
"울산시설공단",울산광역시 울주군 삼동면 보삼길 550,울산광역시 울주군 삼동면 조일리 1533,시설물관리,93,40,하늘공원 전역,30,2012-12,052-255-3835,35.4710705,129.1329843,2020-12-15
"울산시설공단",울산광역시 울주군 삼동면 보삼길 550,울산광역시 울주군 삼동면 조일리 1533,시설물관리,1,130,하늘공원 전역,30,2012-12,052-255-3835,35.4710711,129.1329843,2020-12-15
"울산시설공단",울산광역시 울주군 삼동면 보삼길 550,울산광역시 울주군 삼동면 조일리 1533,시설물관리,28,200,하늘공원 전역,30,2012-12,052-255-3835,35.4710711,129.1329843,2020-12-15
"울산시설공단",울산광역시 울주군 언양읍 언양로22,울산광역시 울주군 언양읍 남부리 73,시설물관리,4,200,언양임시시외버스터미널 전역,30,2019-03,052-264-3900,35.562631,129.129667,2020-12-15
"울산시설공단",울산광역시 동구 등대로 100,울산광역시 동구 일산동 911-1,시설물관리,37,200,대왕별 아이누리 전역,30,2018-04,052-232-0300,35.492834,129.443043,2020-12-15
